unit_code,MARKET_SEGMENT_DESCRIPTION,Year,Quarter,Unit_Market_Activations,Unit_Activations,Market_Activations,Market_Contribution_to_Product,Product_Share_in_Market,UNIT_PRODUCTNAME_SF,UNIT_DESCRIPTION,UNIT_DETAILEDDESCRIPTION,UNIT_L1_PURPOSE,UNIT_L2_CORE_SOLUTION,UNIT_L3_PRODUCTS
18W,Non-Residential & GCs,2024,4,10,123,979,8.13,1.02,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Mining & Utilities,2025,4,4,74,341,5.41,1.17,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,"Arts, Media, Hotels & Entertainment",2025,2,13,134,854,9.70,1.52,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Home Builders & Developers,2026,2,2,35,471,5.71,0.42,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Engineering & Architecture,2024,2,3,165,196,1.82,1.53,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Subcontractors,2024,2,15,165,1051,9.09,1.43,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Non-Residential & GCs,2024,3,24,156,1153,15.38,2.08,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Subcontractors,2025,3,19,100,943,19.00,2.01,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Retail & Wholesale Trade,2025,3,12,100,438,12.00,2.74,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,"Arts, Media, Hotels & Entertainment",2024,3,12,156,1158,7.69,1.04,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Retail & Wholesale Trade,2025,2,8,134,462,5.97,1.73,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Manufacturing,2024,1,11,139,537,7.91,2.05,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Manufacturing,2025,4,3,74,339,4.05,0.89,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,"Educational, Membership & Religious Organizations",2024,3,2,156,178,1.28,1.12,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Highway & Heavy Construction,2026,2,1,35,153,2.86,0.65,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Professional Services,2024,1,41,139,1538,29.50,2.67,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Non-Residential & GCs,2025,2,13,134,1225,9.70,1.06,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Professional Services,2025,4,16,74,954,21.62,1.68,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Highway & Heavy Construction,2025,3,4,100,282,4.00,1.42,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Public Administration,2024,4,2,123,108,1.63,1.85,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Public Administration,2026,1,3,104,123,2.88,2.44,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Subcontractors,2025,4,7,74,824,9.46,0.85,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Manufacturing,2024,4,4,123,375,3.25,1.07,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Public Administration,2026,2,2,35,56,5.71,3.57,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,"Educational, Membership & Religious Organizations",2024,1,3,139,265,2.16,1.13,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Manufacturing,2025,2,3,134,497,2.24,0.60,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Mining & Utilities,2024,2,2,165,588,1.21,0.34,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
18W,Public Administration,2024,3,3,156,115,1.92,2.61,OFFICE-STEEL-18'X10'-OPEN BAY,Ground Level Office - 18' x 10',Small Ground Level Office (180 SF),Offices,Ground Level Offices,Standard Ground Level Offices
